Name,PuntV,LeagV,Punt+,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g
Jeremiah Robinson-Earl,-0.808279072,-0.521664579,-0.286614492,OKC,PF/C,43,18.92364341,6.790697674,0.860465116,4.186046512,1,0.558139535,0.255813953,0.443548387,5.76744186,0.833333333,0.976744186,0.441860465
Bennedict Mathurin,-0.58111029,-0.522862818,-0.058247473,IND,SG/SF,78,28.49188034,16.69230769,1.282051282,4.076923077,1.487179487,0.615384615,0.166666667,0.434279706,12.19230769,0.828193833,5.820512821,1.948717949
Josh Green,-0.698934873,-0.526667779,-0.172267095,DAL,SG/SF,60,25.65388889,9.1,1.133333333,3.033333333,1.716666667,0.7,0.083333333,0.536649215,6.366666667,0.723404255,1.566666667,1.2
Isaiah Livers,-0.799198111,-0.531799203,-0.267398908,DET,SG/SF,52,23.05096154,6.653846154,1.423076923,2.75,0.788461538,0.538461538,0.538461538,0.416666667,5.538461538,0.820512821,0.75,0.576923077
Maxi Kleber,-0.776405528,-0.532137634,-0.244267894,DAL,PF/C,37,25.12837838,5.945945946,1.054054054,3.648648649,1.405405405,0.324324324,0.810810811,0.455621302,4.567567568,0.710526316,1.027027027,0.72972973
A.J. Griffin,-0.801404176,-0.534624259,-0.266779917,ATL,SG/SF,72,19.46203704,8.875,1.402777778,2.125,1.013888889,0.583333333,0.166666667,0.465290807,7.402777778,0.893617021,0.652777778,0.583333333
Seth Curry,-0.765206631,-0.536517247,-0.228689384,BKN,PG/SG,61,19.84808743,9.196721311,1.540983607,1.639344262,1.62295082,0.590163934,0.114754098,0.46325167,7.360655738,0.927272727,0.901639344,0.836065574
Javonte Green,-0.798338573,-0.537515991,-0.260822582,CHI,SG/SF,32,15.00729167,5.15625,0.40625,2.75,0.71875,0.75,0.65625,0.564814815,3.375,0.666666667,1.40625,0.625
Theo Maledon,-0.69110885,-0.538706014,-0.152402837,CHA,PG/SG,44,19.40037879,6.704545455,0.636363636,2.795454545,3.454545455,0.840909091,0.272727273,0.401574803,5.772727273,0.851351351,1.681818182,1.340909091
Dean Wade,-0.840628493,-0.542938587,-0.297689906,CLE,SF/PF,44,20.25984848,4.681818182,1.022727273,3.409090909,0.840909091,0.636363636,0.477272727,0.412429379,4.022727273,0.652173913,0.522727273,0.386363636
Jaylin Williams,-0.791163118,-0.548675706,-0.242487411,OKC,PF/C,49,18.65782313,5.87755102,0.93877551,4.918367347,1.551020408,0.571428571,0.244897959,0.435897436,4.775510204,0.703703704,1.102040816,0.755102041
Rui Hachimura,-0.78226515,-0.552381916,-0.229883234,LAL,SF/PF,63,23.27116402,11.22222222,0.80952381,4.492063492,0.920634921,0.301587302,0.412698413,0.48630137,9.26984127,0.739495798,1.888888889,0.841269841
Joe Harris,-0.826616736,-0.553088545,-0.273528192,BKN,SG/SF,74,20.63581081,7.594594595,1.918918919,2.216216216,1.364864865,0.459459459,0.175675676,0.456818182,5.945945946,0.642857143,0.378378378,0.554054054
Ty Jerome,-0.81240584,-0.555636941,-0.256768899,GSW,PG/SG,45,18.12296296,6.866666667,0.777777778,1.733333333,3,0.511111111,0.111111111,0.487603306,5.377777778,0.926829268,0.911111111,0.666666667
Jonathan Kuminga,-0.698741758,-0.555870688,-0.14287107,GSW,PF/C,67,20.80870647,9.940298507,0.805970149,3.447761194,1.865671642,0.611940299,0.462686567,0.525150905,7.417910448,0.652173913,2.059701493,1.417910448
Dwight Powell,-0.785424652,-0.557076677,-0.228347975,DAL,C,76,19.18267544,6.657894737,0,4.131578947,0.907894737,0.631578947,0.342105263,0.732342007,3.539473684,0.666666667,2.210526316,0.855263158
Trey Lyles,-0.784315762,-0.557385317,-0.226930445,SAC,PF/C,74,16.8536036,7.594594595,1.175675676,4.054054054,0.891891892,0.364864865,0.418918919,0.458333333,5.513513514,0.814516129,1.675675676,0.864864865
Naji Marshall,-0.729563313,-0.56194611,-0.167617202,NOR,SG/SF,77,23.27164502,9.064935065,0.857142857,3.623376623,2.454545455,0.701298701,0.181818182,0.432574431,7.415584416,0.788571429,2.272727273,1.25974026
Thaddeus Young,-0.80450293,-0.563590032,-0.240912898,TOR,PF/C,54,14.72962963,4.444444444,0.111111111,3.074074074,1.388888889,1,0.092592593,0.545454545,3.666666667,0.692307692,0.481481481,0.777777778
