,Name,PuntV,LeagV,g,m/g,t p/g,t a/g,t 3/g,t r/g,t s/g,t b/g,t wft,t wfg,t to/g,p/g,a/g,3/g,r/g,s/g,b/g,wft,wfg,neg to/g
77,Michael Porter Jr.,-0.192874911,-0.062921749,62,28.99704301,1.000028576,1.000000945,1.984206906,1.101729077,0.859418561,0.79862273,0.031814214,0.909815685,30.98396612,17.41935484,1.048387097,3.032258065,5.5,0.596774194,0.467741935,0.031814214,0.150910524,-1.096774194
78,Kyle Anderson,-0.132908977,-0.062997159,69,28.35531401,1.000022383,1.000031601,0.746683203,1.099804108,1.036636492,0.973436984,-0.095137988,0.944888711,19.98119771,9.376811594,4.855072464,0.623188406,5.333333333,1.130434783,0.913043478,-0.095137988,0.239572914,-1.492753623
79,Alperen Sengun,0.024538472,-0.068707202,75,28.94488889,1.000026938,1.000027117,0.428213896,1.133284769,0.979955587,0.97978928,-0.262213932,1.150110063,3.806257782,14.78666667,3.88,0.253333333,9.04,0.933333333,0.933333333,-0.262213932,0.825586376,-2.573333333
80,Kevin Porter,0.110776418,-0.074698794,59,34.30367232,1.000029525,1.000034911,1.712842216,1.099671557,1.101428833,0.691947444,0.002363708,0.605788644,0.779620492,19.15254237,5.728813559,2.389830508,5.322033898,1.389830508,0.288135593,0.002363708,-0.500257169,-3.186440678
81,Scottie Barnes,-0.071925726,-0.077167193,77,34.77748918,1.000027287,1.000031448,0.883420222,1.113675188,1.022265585,0.933388501,-0.035797575,0.727174853,10.21627983,15.31168831,4.818181818,0.818181818,6.649350649,1.077922078,0.792207792,-0.035797575,-0.263727682,-2
82,Derrick White,-0.212021222,-0.08826633,82,28.28292683,1.000025179,1.000027295,1.446153328,1.075053421,0.884620157,0.977763685,0.214097195,0.790255914,29.0490662,12.40243902,3.914634146,1.817073171,3.573170732,0.658536585,0.926829268,0.214097195,-0.128993775,-1.158536585
83,Josh Hart,-0.154393356,-0.0883923,76,32.29035088,1.0000228,1.000026783,0.873010934,1.123844079,1.04396419,0.68342302,-0.077724046,0.991996841,18.89141489,9.776315789,3.815789474,0.802631579,7.802631579,1.157894737,0.276315789,-0.077724046,0.363659655,-1.539473684
84,C.J. McCollum,-0.017896443,-0.088453647,75,35.31711111,1.000030401,1.00003488,1.894453414,1.087470235,0.979955587,0.817740537,-0.046505496,0.491734754,4.932057842,20.90666667,5.72,2.813333333,4.373333333,0.933333333,0.506666667,-0.046505496,-0.69780381,-2.44
85,Kevin Huerter,-0.192768518,-0.089323565,75,29.37133333,1.000027213,1.000021614,1.860994191,1.071059817,1.019121279,0.713763088,-0.101956106,0.892101396,25.11418765,15.2,2.946666667,2.733333333,3.346666667,1.066666667,0.32,-0.101956106,0.10729805,-1.293333333
86,Markelle Fultz,-0.047804147,-0.098412804,60,29.63361111,1.000026355,1.000034751,0.610645793,1.080413996,1.115214176,0.780766429,-0.000824331,1.017521141,6.157261816,13.95,5.683333333,0.45,3.9,1.45,0.433333333,-0.000824331,0.433374763,-2.316666667
87,Christian Wood,-0.126457256,-0.099484227,67,25.94626866,1.000028111,1.000011822,1.319842851,1.11984607,0.789930918,1.021528298,-0.047479199,1.023726735,13.4355911,16.62686567,1.805970149,1.567164179,7.328358209,0.447761194,1.074626866,-0.047479199,0.450594853,-1.805970149
88,Kelly Oubre,-0.202788645,-0.103622388,48,32.24027778,1.000030082,1.000002356,1.650224921,1.098072637,1.107628284,0.7480641,-0.103771508,0.451431978,24.02027664,20.25,1.125,2.25,5.1875,1.416666667,0.375,-0.103771508,-0.762394572,-1.333333333
89,Ja Morant,0.104863479,-0.105648975,61,31.93989071,1.000032644,1.000041794,1.288942375,1.105624974,1.023389965,0.67297163,-0.285748196,0.762913192,0.379483313,26.16393443,8.081967213,1.508196721,5.852459016,1.081967213,0.262295082,-0.285748196,-0.188439642,-3.37704918
90,Spencer Dinwiddie,-0.132539176,-0.108863356,79,34.49831224,1.000028524,1.000037495,1.668798119,1.07233938,0.952797995,0.702871531,0.119295233,0.60606229,12.90764068,17.32911392,6.518987342,2.291139241,3.417721519,0.848101266,0.303797468,0.119295233,-0.499755591,-1.835443038
91,Kentavious Caldwell-Pope,-0.239598549,-0.109145591,76,31.33179825,1.00002381,1.000017575,1.426029838,1.05888526,1.120529597,0.794956789,0.066508789,0.797179432,29.88318878,10.81578947,2.407894737,1.776315789,2.736842105,1.473684211,0.460526316,0.066508789,-0.113681671,-1.131578947
92,Tre Jones,-0.173785109,-0.116167271,68,29.17156863,1.000025547,1.000037706,0.77490527,1.075560457,1.082186877,0.549649504,0.194517987,0.765459848,17.15939113,12.86764706,6.588235294,0.661764706,3.602941176,1.308823529,0.132352941,0.194517987,-0.182971341,-1.617647059
93,Draymond Green,0.002003565,-0.118554511,73,31.47237443,1.000021344,1.000038484,0.689632826,1.118649454,1.004000969,0.943613865,-0.104448861,0.981646375,2.345903128,8.452054795,6.849315068,0.547945205,7.191780822,1.01369863,0.821917808,-0.104448861,0.335892394,-2.794520548
94,Terry Rozier,-0.099235954,-0.118560551,63,35.2537037,1.000030491,1.000032442,1.812538228,1.083655656,1.048362941,0.666577155,0.08914628,0.172343187,8.420844936,21.0952381,5.063492063,2.619047619,4.111111111,1.174603175,0.253968254,0.08914628,-1.144868656,-2.126984127
95,PJ Washington,-0.1947106,-0.119832049,73,32.59680365,1.000027519,1.000017487,1.55382687,1.094572504,0.970849165,1.023651187,-0.127943866,0.64455439,19.64802863,15.67123288,2.397260274,2.04109589,4.904109589,0.904109589,1.082191781,-0.127943866,-0.427816263,-1.506849315
